40

pkt_rate: 6000, sent_num: 100, recv_num: 21
pkt_rate: 6000, sent_num: 100, recv_num: 80
pkt_rate: 6000, sent_num: 100, recv_num: 16
pkt_rate: 6000, sent_num: 100, recv_num: 36
pkt_rate: 6000, sent_num: 100, recv_num: 78
pkt_rate: 6000, sent_num: 100, recv_num: 38
pkt_rate: 6000, sent_num: 100, recv_num: 37
pkt_rate: 6000, sent_num: 100, recv_num: 29
pkt_rate: 6000, sent_num: 100, recv_num: 74
pkt_rate: 6000, sent_num: 100, recv_num: 97
pkt_rate: 6000, sent_num: 100, recv_num: 28
pkt_rate: 6000, sent_num: 100, recv_num: 29
pkt_rate: 6000, sent_num: 100, recv_num: 24
pkt_rate: 6000, sent_num: 100, recv_num: 31
pkt_rate: 6000, sent_num: 100, recv_num: 35
pkt_rate: 6000, sent_num: 100, recv_num: 39
pkt_rate: 6000, sent_num: 100, recv_num: 89
pkt_rate: 6000, sent_num: 100, recv_num: 87
pkt_rate: 6000, sent_num: 100, recv_num: 41
pkt_rate: 6000, sent_num: 100, recv_num: 20
pkt_rate: 6000, sent_num: 100, recv_num: 32
pkt_rate: 6000, sent_num: 100, recv_num: 64
pkt_rate: 6000, sent_num: 100, recv_num: 35
pkt_rate: 6000, sent_num: 100, recv_num: 42
pkt_rate: 6000, sent_num: 100, recv_num: 31
pkt_rate: 6000, sent_num: 100, recv_num: 86
pkt_rate: 6000, sent_num: 100, recv_num: 94
pkt_rate: 6000, sent_num: 100, recv_num: 25
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 94
pkt_rate: 6000, sent_num: 100, recv_num: 25
pkt_rate: 6000, sent_num: 100, recv_num: 86
pkt_rate: 6000, sent_num: 100, recv_num: 40
pkt_rate: 6000, sent_num: 100, recv_num: 30
pkt_rate: 6000, sent_num: 100, recv_num: 89
pkt_rate: 6000, sent_num: 100, recv_num: 83
pkt_rate: 6000, sent_num: 100, recv_num: 34
pkt_rate: 6000, sent_num: 100, recv_num: 88
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 17
pkt_rate: 6000, sent_num: 100, recv_num: 43
pkt_rate: 6000, sent_num: 100, recv_num: 27
pkt_rate: 6000, sent_num: 100, recv_num: 83
pkt_rate: 6000, sent_num: 100, recv_num: 33
pkt_rate: 6000, sent_num: 100, recv_num: 41
pkt_rate: 6000, sent_num: 100, recv_num: 30
pkt_rate: 6000, sent_num: 100, recv_num: 27
